sucursal,lat,lon
134 - Tandil (NRT) - TT,-37.32677,-59.1353917
255 - Pergamino II (El Guri) - TT,-33.902897,-60.5689359
135 - La Rioja - TT,-29.41176,-66.8573213
386 - Super Av. Belgrano 1160 - TT,-34.613255,-58.3832467
511 - Super Av. Rivadavia 3221 - TT,-34.610367,-58.4119034
491 - Super Av. Montes de Oca 970 - TT,-34.639634,-58.3746743
115 - Flores (Ex Home) - TT,-34.627214,-58.4582841
390 - Super Av. Rivadavia 5973 - TT,-34.623417,-58.4487838
150 - Vidt - TT,-34.587432,-58.4130406
138 - Concordia (Tia) - TT,-31.397376,-58.0181658
176 - Tucuman I - TT,-26.830481,-65.2070063
177 - Tucuman II - TT,-26.830706,-65.2023768
101 - Avellaneda Express - TT,-34.662114,-58.3681619
296 - Olavarria II - TT,-36.907787,-60.3133382
114 - Bahia Blanca - TT,-38.720671,-62.2683996
490 - Super Av. Cordoba 1631 - TT,-34.599612,-58.3905208
388 - Super Alte. Segui 849 - TT,-34.798651,-58.3953488
289 - Lujan de Cuyo - TT,-33.036901,-68.8784945
287 - Suipacha - TT,-32.877776,-68.8553953
290 - Bombal - TT,-32.903767,-68.8523912
283 - Las Heras - TT,-32.885309,-68.8420808
184 - Santa Rosa (Spinetto) - TT,-36.603979,-64.2804694
957 - CD TORTUGUITAS,-34.450246,-58.7060559
196 - Proxi Av. Corrientes 3651,-34.603991,-58.4162413
199 - Proxi Av. Cordoba 1439,-34.599389,-58.3875516
200 - Proxi Av. Rivadavia 8421,-34.633689,-58.4819546
213 - Proxi Paraguay 919,-34.597668,-58.3804566
247 - Proxi Av. La Plata 430,-34.620018,-58.4282327
251 - Proxi Arce 730,-34.568784,-58.4347612
260 - Proxi Las Heras 2397,-34.586355,-58.3986533
265 - Proxi Angel Gallardo 30,-34.602451,-58.4326986
291 - Proxi Piedras 383,-34.612681,-58.3773941
298 - Proxi Formosa 565,-34.621329,-58.4359789
299 - Proxi Arenales 975,-34.594074,-58.3803499
300 - Proxi Gral Deheza 2239,-34.540544,-58.4719648
301 - Proxi Av. Pueyrredon 2464,-34.58586,-58.3941418
302 - Proxi Esmeralda 823,-34.598837,-58.3783114
303 - Proxi Talcahuano 841,-34.598689,-58.3856607
306 - Proxi Fray Oro 2709,-34.577475,-58.4220824
307 - Proxi Las Heras 1936,-34.590939,-58.3932942
308 - Proxi Maipu 171,-34.606288,-58.3767611
309 - Proxi Campana 3050,-34.602614,-58.4961811
310 - Proxi Chivilcoy 3840,-34.600746,-58.5119015
311 - Proxi Monroe 2771,-34.560157,-58.4632194
312 - Proxi Cervino 4634,-34.575158,-58.4228844
313 - Proxi Montaneses 2267,-34.555942,-58.4500766
314 - Proxi Segurola 2344,-34.614597,-58.5057163
315 - Proxi Varela 3191,-34.598611,-58.4969549
316 - Proxi Ramon Falcon 2402,-34.629681,-58.462463
317 - Proxi Anchorena 1253,-34.594736,-58.406319
318 - Proxi Arroyo 859,-34.591464,-58.3792985
320 - Proxi Sucre 2490,-34.564164,-58.4556073
322 - Proxi Del Carril 3210,-34.592917,-58.5019612
323 - Proxi Montes De Oca 304,-34.632466,-58.376112
324 - Proxi Directorio 1766,-34.630816,-58.4525067
325 - Proxi Vidal 2355,-34.561937,-58.4622806
326 - Proxi Jonte 4872,-34.620036,-58.5063064
327 - Proxi Las Heras 2643,-34.58457,-58.4003055
328 - Proxi Godoy Cruz 2793,-34.577694,-58.4243542
329 - Proxi Lavalle 1747,-34.603012,-58.391701
331 - Proxi Charcas 3171,-34.592317,-58.4110558
332 - Proxi Billinghurst 1380,-34.593787,-58.4131104
334 - Proxi Paraguay 521,-34.59743,-58.3746529
335 - Proxi Cuba 2776,-34.55482,-58.4599847
336 - Proxi Charcas 3315,-34.591601,-58.412472
337 - Proxi Lacroze 2566,-34.57215,-58.4460855
338 - Proxi Tucuman 831,-34.601212,-58.3788773
339 - Proxi Los Incas 4466,-34.580931,-58.4736854
341 - Proxi Viamonte 352,-34.599532,-58.3721799
343 - Proxi Amenabar 1187,-34.57003,-58.4504306
344 - Proxi Marcelo T. Alvear 2251,-34.596741,-58.3996135
346 - Proxi Suarez 1599,-34.638451,-58.3729094
347 - Proxi Pacheco de Melo 2648,-34.586814,-58.4015125
348 - Proxi Rivadavia 3421,-34.610438,-58.4147358
349 - Proxi Av Cabildo 34,-34.574808,-58.4366146
351 - Proxi Echeverria 2067,-34.56108,-58.4525335
352 - Proxi Rodriguez Pena 1183,-34.595339,-58.3919397
354 - Proxi Parana 1053,-34.596384,-58.3884609
355 - Proxi Pueyrredon 1054,-34.598064,-58.4036717
357 - Proxi Sarmiento 1592,-34.605587,-58.3892737
360 - Proxi Los Incas 5174,-34.586157,-58.481427
361 - Proxi Moldes 1718,-34.567225,-58.4564441
362 - Proxi Directorio 1069,-34.629147,-58.4424055
363 - Proxi Independencia 1833,-34.618023,-58.3925378
364 - Proxi Ciudad de la Paz 353,-34.574191,-58.4419549
365 - Proxi Nazca 1944,-34.61216,-58.4808254
367 - Proxi Estado de Israel 4309,-34.598009,-58.4272403
368 - Proxi Cuba 2919,-34.553014,-58.4619283
369 - Proxi Caseros 2864,-34.636822,-58.4029461
370 - Proxi Juan B. Alberdi 371,-34.622826,-58.4327978
371 - Proxi Olazabal 5483,-34.578979,-58.4902024
373 - Proxi 11 de Septiembre 3910,-34.543403,-58.4633911
374 - Proxi Av. Romulo Naon 2401,-34.56753,-58.4726554
375 - Proxi Esmerlda 428,-34.603186,-58.3780449
376 - Proxi Jonte 3709,-34.613767,-58.4936464
378 - Proxi Billinghurst 1872-6,-34.589172,-58.4090495
380 - Proxi Otamendi 454,-34.611537,-58.4334308
391 - Proxi Cabildo 2865,-34.555328,-58.462522
392 - Proxi J. L. Borges 2463-65,-34.582227,-58.4215057
394 - Proxi Santa Fe 4489-91,-34.579487,-58.4239063
395 - Proxi Federico Lacroze 4106,-34.5859,-58.4546739
396 - Proxi San Martin 2289,-34.604027,-58.4592497
397 - Proxi Corrientes 5980,-34.593663,-58.4455437
398 - Proxi Av. Rivadavia 9436,-34.637198,-58.4972727
400 - Proxi Centenera 177,-34.621749,-58.4410965
402 - Proxi Av. Corrientes 1974,-34.604447,-58.3945978
403 - Proxi Av Santa Fe 5052,-34.577002,-58.4307942
404 - Proxi Medrano 686,-34.602217,-58.4206957
406 - Proxi Salta 1637-39,-34.627602,-58.3830133
408 - Proxi Peru 916,-34.619122,-58.3743632
409 - Proxi Gaona 3567,-34.620861,-58.4749246
410 - Proxi Tucuman 2173,-34.602164,-58.3977628
411 - Proxi Av. E. Peron 3479,-34.644904,-58.4648824
412 - Proxi Av. Caseros 3535,-34.638707,-58.4151328
413 - Proxi Venezuela 4086,-34.617798,-58.4221065
415 - Proxi Av. San Juan 4351,-34.626799,-58.4261727
416 - Proxi Av. Almafuerte 880,-34.647764,-58.415629
417 - Proxi F. Cayetano 464,-34.62411,-58.4649843
418 - Proxi Carlos Calvo 1826,-34.620261,-58.3924238
419 - Proxi Olavarria 469,-34.636421,-58.3590531
420 - Proxi Av. Gaona 1384,-34.608884,-58.4488374
421 - Proxi Av. Belgrano 3447,-34.615586,-58.4148538
422 - Proxi Murature 2169 V.Fiorito,-34.706331,-58.4386396
423 - Proxi Av. Castanares 4854,-34.666776,-58.4727949
424 - Proxi Mitre 226 Lujan,-34.565781,-59.1191161
425 - J.M. de Rosas 2533 J.L.S.,-34.531087,-58.5755932
426 - Proxi Montaneses 2067,-34.557891,-58.4484673
427 - Proxi Rivadavia 16051 Haedo,-34.644904,-58.5899591
