Categoria,Identificador,Nombre,Latitud,Longitud,Domicilio,CD ORIGEN,Turnos,RUTA,FORMATO,DIAS SUGERIDO,VIAJES,TRANSPORTE
AMBA,120,120 - Belgrano (Cabildo y Monroe) - TT,-34.558177,"-58,4585886",AV. CABILDO - 2441,E.Echeverria,primera_ventana,Zona_08_BSAS_Capital_11,Market,LXV,,
Express - Interior,295,295 - Granaderos - TT,-31.374405,"-64,2137951",LOS GRANADEROS - 2916,E.Echeverria,primera_ventana,Zona_Express_15_Cordoba,Express,LXV,,
Interior,137,137 - San Luis - TT,-33.303461,"-66,3364792",PRINGLES NRO 963,E.Echeverria,primera_ventana,Zona_04_Interior_RioIV_SanLuis,Market,LX,,
Interior,134,134 - Tandil (NRT) - TT,-37.32677,"-59,1353917",9 DE JULIO NRO 548,E.Echeverria,primera_ventana,Zona_01_Interior_MarDelPlata_Tandil_Balcarce,Market,LXV,,
Interior,255,255 - Pergamino II (El Guri) - TT,-33.902897,"-60,5689359",BOULEVARD ROCHA - 1352,E.Echeverria,primera_ventana,Zona_07_Interior_Pergamino_VenadoTuerto,Maxi,XV,,
Interior,135,135 - La Rioja - TT,-29.41176,"-66,8573213",25 DE MAYO NRO 151,E.Echeverria,primera_ventana,Zona_08_Interior_Tucuman_Catamarca_LaRioja,Market,LX,,
AMBA,386,386 - Super Av. Belgrano 1160 - TT,-34.613255,"-58,3832467",Av. Belgrano nro. 1160,E.Echeverria,primera_ventana,Zona_05_BSAS_Capital_5,Market,LXV,,
AMBA,511,511 - Super Av. Rivadavia 3221 - TT,-34.610367,"-58,4119034",Rivadavia 3221,E.Echeverria,primera_ventana,Zona_08_BSAS_Capital_8,Market,LMV,,
AMBA,491,491 - Super Av. Montes de Oca 970 - TT,-34.639634,"-58,3746743",Montes de Oca 970,E.Echeverria,primera_ventana,Zona_05_BSAS_Capital_5,Market,LXV,,
AMBA,115,115 - Flores (Ex Home) - TT,-34.627214,"-58,4582841",AV. RIVADAVIA - 6538,E.Echeverria,primera_ventana,Zona_08_BSAS_Capital_8,Market,LXV,,
AMBA,390,390 - Super Av. Rivadavia 5973 - TT,-34.623417,"-58,4487838",Rivadavia 5973,E.Echeverria,primera_ventana,Zona_08_BSAS_Capital_8,Market,LMV,,
AMBA,150,150 - Vidt - TT,-34.587432,"-58,4130406",VIDT NRO 2068,E.Echeverria,primera_ventana,Zona_08_BSAS_Capital_8,Market,LMXJV,,
Interior,138,138 - Concordia (Tia) - TT,-31.397376,"-58,0181658",ENTRE RIOS NRO 635 - 635,E.Echeverria,primera_ventana,Zona_03_Interior_Concordia_Gualeguaychu,Market,MJV,,
Interior,176,176 - Tucuman I - TT,-26.830481,"-65,2070063",24 DE SEPTIEMBRE NRO 653,E.Echeverria,primera_ventana,Zona_08_Interior_Tucuman_Catamarca_LaRioja,Market,LX,,
Interior,177,177 - Tucuman II - TT,-26.830706,"-65,2023768",SAN MARTIN NRO 354,E.Echeverria,primera_ventana,Zona_08_Interior_Tucuman_Catamarca_LaRioja,Market,LX,,
AMBA,101,101 - Avellaneda Express - TT,-34.662114,"-58,3681619",null,Munro,primera_ventana,Zona_03_BSAS_GBA_Sureste,Market,LXV,,
Interior,296,296 - Olavarria II - TT,-36.907787,"-60,3133382",AV. DEL VALLE - 4379,E.Echeverria,primera_ventana,Zona_11_Interior_BahiaBlanca_Olavarria,Market,LJ,,
Interior,114,114 - Bahia Blanca - TT,-38.720671,"-62,2683996",BROWN - 51,E.Echeverria,primera_ventana,Zona_11_Interior_BahiaBlanca_Olavarria,Market,XV,,
AMBA,490,490 - Super Av. Cordoba 1631 - TT,-34.599612,"-58,3905208",Cordoba 1631,E.Echeverria,primera_ventana,Zona_05_BSAS_Capital_5,Market,LXJ,,
